Strike;Last;Net;Bid;Ask;Vol;Int
SPX1617F300-E ;1695.25;0.0;1741.20;1743.80;0;3781
SPX1617F400-E ;1652.50;0.0;1641.20;1643.80;0;19
SPX1617F450-E ;1456.40;0.0;1591.20;1593.80;0;20
SPX1617F500-E ;1574.10;0.0;1541.30;1543.90;0;3539
SPX1617F550-E ;1495.40;0.0;1491.30;1493.90;0;14
SPX1617F600-E ;1405.80;0.0;1441.30;1443.90;0;13
SPX1617F650-E ;1401.90;0.0;1391.40;1394.00;0;8
SPX1617F700-E ;1165.95;0.0;1341.40;1344.00;0;22
SPX1617F750-E ;1216.55;0.0;1291.40;1294.00;0;1853
SPX1617F775-E ;1128.80;0.0;1266.40;1269.00;0;18
SPX1617F800-E ;1136.55;0.0;1241.50;1244.10;0;15
SPX1617F825-E ;1078.90;0.0;1216.50;1219.10;0;16
SPX1617F850-E ;1054.20;0.0;1191.50;1194.10;0;16
SPX1617F875-E ;1030.10;0.0;1166.50;1169.10;0;12
SPX1617F900-E ;1133.75;0.0;1141.50;1144.10;0;24
SPX1617F925-E ;1083.30;0.0;1116.50;1119.10;0;26
SPX1617F950-E ;967.75;0.0;1091.50;1094.10;0;56
SPX1617F975-E ;1099.80;0.0;1066.60;1069.20;0;15
SPX1617F1000-E ;1045.00;+1.70;1041.60;1044.20;500;43831
SPX1617F1025-E ;1010.05;0.0;1016.60;1019.20;0;23
SPX1617F1050-E ;819.92;0.0;991.60;994.20;0;46
SPX1617F1075-E ;953.50;0.0;966.60;969.20;0;17
SPX1617F1100-E ;958.40;0.0;941.60;944.20;0;669
SPX1617F1120-E ;0.0;0.0;921.60;924.20;0;0
SPX1617F1125-E ;917.75;0.0;916.70;919.30;0;1
SPX1617F1140-E ;0.0;0.0;901.70;904.30;0;0
SPX1617F1150-E ;892.75;0.0;891.70;894.30;0;2
SPX1617F1160-E ;0.0;0.0;881.70;884.30;0;0
SPX1617F1175-E ;917.00;0.0;866.70;869.30;0;3
SPX1617F1180-E ;0.0;0.0;861.70;864.30;0;0
SPX1617F1200-E ;856.50;0.0;841.70;844.30;0;1162
SPX1617F1210-E ;0.0;0.0;831.70;834.30;0;0
SPX1617F1220-E ;0.0;0.0;821.70;824.30;0;0
SPX1617F1225-E ;646.30;0.0;816.70;819.30;0;2
SPX1617F1230-E ;0.0;0.0;811.70;814.30;0;0
SPX1617F1240-E ;0.0;0.0;801.70;804.30;0;0
SPX1617F1250-E ;785.40;0.0;791.70;794.30;0;97
SPX1617F1260-E ;0.0;0.0;781.70;784.30;0;0
SPX1617F1270-E ;0.0;0.0;771.70;774.30;0;0
SPX1617F1275-E ;0.0;0.0;766.80;769.40;0;0
SPX1617F1280-E ;0.0;0.0;761.80;764.40;0;0
SPX1617F1290-E ;0.0;0.0;751.80;754.40;0;0
SPX1617F1300-E ;775.00;0.0;741.60;744.80;0;4630
SPX1617F1310-E ;0.0;0.0;731.80;734.40;0;0
SPX1617F1320-E ;0.0;0.0;721.80;724.40;0;0
SPX1617F1325-E ;567.80;0.0;716.80;719.40;0;4
SPX1617F1330-E ;0.0;0.0;711.80;714.40;0;0
SPX1617F1335-E ;0.0;0.0;706.80;709.40;0;0
SPX1617F1340-E ;0.0;0.0;701.80;704.40;0;0
SPX1617F1345-E ;0.0;0.0;696.80;699.40;0;0
SPX1617F1350-E ;663.75;0.0;691.80;694.40;0;2010
SPX1617F1355-E ;0.0;0.0;686.80;689.40;0;0
SPX1617F1360-E ;0.0;0.0;681.80;684.40;0;0
SPX1617F1365-E ;0.0;0.0;676.80;679.40;0;0
SPX1617F1370-E ;0.0;0.0;671.90;674.50;0;0
SPX1617F1375-E ;0.0;0.0;666.90;669.50;0;0
SPX1617F1380-E ;0.0;0.0;661.90;664.50;0;0
SPX1617F1385-E ;0.0;0.0;656.90;659.50;0;0
SPX1617F1390-E ;0.0;0.0;651.90;654.50;0;0
SPX1617F1395-E ;0.0;0.0;646.90;649.50;0;0
SPX1617F1400-E ;651.95;0.0;641.90;644.50;0;77
SPX1617F1405-E ;0.0;0.0;636.90;639.50;0;0
SPX1617F1410-E ;0.0;0.0;632.00;634.60;0;0
SPX1617F1415-E ;0.0;0.0;627.00;629.60;0;0
SPX1617F1420-E ;0.0;0.0;622.00;624.60;0;0
SPX1617F1425-E ;0.0;0.0;617.00;619.60;0;0
SPX1617F1430-E ;0.0;0.0;612.00;614.60;0;0
SPX1617F1435-E ;0.0;0.0;607.00;609.60;0;0
SPX1617F1440-E ;0.0;0.0;602.00;604.60;0;0
SPX1617F1445-E ;0.0;0.0;597.00;599.60;0;0
SPX1617F1450-E ;487.25;0.0;592.10;594.70;0;7
SPX1617F1455-E ;0.0;0.0;587.10;589.70;0;0
SPX1617F1460-E ;0.0;0.0;582.10;584.70;0;0
SPX1617F1465-E ;0.0;0.0;577.10;579.70;0;0
SPX1617F1470-E ;0.0;0.0;572.10;574.70;0;0
SPX1617F1475-E ;451.20;0.0;567.10;569.70;0;1
SPX1617F1480-E ;0.0;0.0;562.10;564.70;0;0
SPX1617F1485-E ;0.0;0.0;557.10;559.70;0;0
SPX1617F1490-E ;0.0;0.0;552.10;554.70;0;0
SPX1617F1495-E ;0.0;0.0;547.10;549.70;0;0
SPX1617F1500-E ;560.25;0.0;542.20;544.80;0;8292
SPX1617F1505-E ;0.0;0.0;537.20;539.80;0;0
SPX1617F1510-E ;0.0;0.0;532.20;534.80;0;0
SPX1617F1515-E ;0.0;0.0;527.20;529.80;0;0
SPX1617F1520-E ;0.0;0.0;522.20;524.80;0;0
SPX1617F1525-E ;553.00;0.0;517.20;519.80;0;49
SPX1617F1530-E ;0.0;0.0;512.20;514.80;0;0
SPX1617F1535-E ;0.0;0.0;507.20;509.80;0;0
SPX1617F1540-E ;0.0;0.0;502.20;504.80;0;0
SPX1617F1545-E ;0.0;0.0;497.20;499.80;0;0
SPX1617F1550-E ;515.50;0.0;492.20;494.80;0;8
SPX1617F1555-E ;0.0;0.0;487.30;489.90;0;0
SPX1617F1560-E ;0.0;0.0;482.30;484.90;0;0
SPX1617F1565-E ;0.0;0.0;477.30;479.90;0;0
SPX1617F1570-E ;0.0;0.0;472.30;474.90;0;0
SPX1617F1575-E ;425.20;0.0;467.30;469.90;0;11
SPX1617F1580-E ;0.0;0.0;462.30;464.90;0;0
SPX1617F1585-E ;0.0;0.0;457.40;460.00;0;0
SPX1617F1590-E ;0.0;0.0;452.40;455.00;0;0
SPX1617F1595-E ;0.0;0.0;447.40;450.00;0;0
SPX1617F1600-E ;473.70;0.0;442.40;445.00;0;69
SPX1617F1605-E ;0.0;0.0;437.40;440.00;0;0
SPX1617F1610-E ;0.0;0.0;432.40;435.00;0;0
SPX1617F1615-E ;0.0;0.0;427.50;430.10;0;0
SPX1617F1620-E ;0.0;0.0;422.50;425.10;0;0
SPX1617F1625-E ;472.08;0.0;417.50;420.10;0;11
SPX1617F1630-E ;0.0;0.0;412.50;415.10;0;0
SPX1617F1635-E ;0.0;0.0;407.30;410.50;0;0
SPX1617F1640-E ;0.0;0.0;402.50;405.10;0;0
SPX1617F1645-E ;0.0;0.0;397.60;400.10;0;0
SPX1617F1650-E ;436.00;0.0;392.60;395.20;0;209
SPX1617F1655-E ;0.0;0.0;387.60;390.20;0;0
SPX1617F1660-E ;0.0;0.0;382.60;385.20;0;0
SPX1617F1665-E ;0.0;0.0;377.70;380.30;0;0
SPX1617F1670-E ;0.0;0.0;372.70;375.30;0;0
SPX1617F1675-E ;371.60;0.0;367.70;370.30;0;1
SPX1617F1680-E ;0.0;0.0;362.80;365.40;0;0
SPX1617F1685-E ;0.0;0.0;357.80;360.40;0;0
SPX1617F1690-E ;0.0;0.0;352.80;355.40;0;0
SPX1617F1695-E ;0.0;0.0;347.90;350.50;0;0
SPX1617F1700-E ;374.55;0.0;342.90;345.50;0;375
SPX1617F1705-E ;0.0;0.0;338.00;340.60;0;0
SPX1617F1710-E ;367.35;0.0;332.90;335.80;0;26
SPX1617F1715-E ;0.0;0.0;328.00;330.60;0;0
SPX1617F1720-E ;0.0;0.0;323.10;325.70;0;0
SPX1617F1725-E ;329.40;0.0;318.10;320.70;0;94
SPX1617F1730-E ;0.0;0.0;313.20;315.80;0;0
SPX1617F1735-E ;219.65;0.0;308.10;311.20;0;2
SPX1617F1740-E ;0.0;0.0;303.30;305.90;0;0
SPX1617F1745-E ;298.20;0.0;298.30;300.90;0;10
SPX1617F1750-E ;320.00;0.0;293.40;296.00;0;1501
SPX1617F1755-E ;0.0;0.0;288.50;291.10;0;0
SPX1617F1760-E ;0.0;0.0;283.50;286.10;0;0
SPX1617F1765-E ;0.0;0.0;278.60;281.20;0;0
SPX1617F1770-E ;0.0;0.0;273.70;276.30;0;0
SPX1617F1775-E ;311.25;0.0;268.80;271.30;0;51
SPX1617F1780-E ;0.0;0.0;263.80;266.40;0;0
SPX1617F1785-E ;0.0;0.0;258.90;261.50;0;0
SPX1617F1790-E ;0.0;0.0;254.00;256.60;0;0
SPX1617F1795-E ;0.0;0.0;249.10;251.70;0;0
SPX1617F1800-E ;266.30;0.0;244.20;246.80;0;1621
SPX1617F1805-E ;248.60;0.0;239.40;241.90;0;80
SPX1617F1810-E ;277.50;0.0;234.50;237.10;0;11
SPX1617F1815-E ;0.0;0.0;229.60;232.20;0;0
SPX1617F1820-E ;232.04;0.0;224.80;227.30;0;5
SPX1617F1825-E ;251.10;0.0;219.90;222.50;0;1890
SPX1617F1830-E ;258.20;0.0;215.10;217.60;0;1
SPX1617F1835-E ;0.0;0.0;210.20;212.80;0;0
SPX1617F1840-E ;0.0;0.0;205.40;208.00;0;0
SPX1617F1845-E ;174.16;0.0;200.60;203.10;0;6
SPX1617F1850-E ;226.00;0.0;195.70;198.30;0;8514
SPX1617F1855-E ;0.0;0.0;191.00;193.70;0;0
SPX1617F1860-E ;230.00;0.0;186.20;188.70;0;12
SPX1617F1865-E ;0.0;0.0;181.40;183.90;0;0
SPX1617F1870-E ;178.00;0.0;176.70;179.20;0;1217
SPX1617F1875-E ;170.50;-15.50;171.90;174.40;88;10856
SPX1617F1880-E ;163.05;0.0;167.20;169.70;0;2
SPX1617F1885-E ;0.0;0.0;162.50;165.00;0;0
SPX1617F1890-E ;168.55;0.0;157.80;160.30;0;20
SPX1617F1895-E ;159.20;-7.40;153.20;155.60;2;0
SPX1617F1900-E ;148.40;-29.90;148.50;151.00;9;18748
SPX1617F1905-E ;181.05;0.0;143.90;146.40;0;120
SPX1617F1910-E ;141.85;0.0;139.30;141.80;0;373
SPX1617F1915-E ;135.75;-13.85;134.80;137.20;100;10
SPX1617F1920-E ;162.10;0.0;130.20;132.70;0;174
SPX1617F1925-E ;126.70;-13.55;125.70;128.10;100;19879
SPX1617F1930-E ;130.45;-23.75;121.30;123.60;1;369
SPX1617F1935-E ;135.05;0.0;116.90;119.10;0;66
SPX1617F1940-E ;129.60;0.0;112.50;114.70;0;431
SPX1617F1945-E ;121.45;0.0;108.10;110.40;0;10
SPX1617F1950-E ;103.00;-18.50;103.80;106.00;3;18245
SPX1617F1955-E ;101.50;-12.25;99.50;101.60;5;36
SPX1617F1960-E ;96.85;0.0;95.30;97.40;0;2883
SPX1617F1965-E ;94.70;-8.20;91.10;93.20;14;3577
SPX1617F1970-E ;87.00;-10.50;87.00;89.00;5;2758
SPX1617F1975-E ;82.80;-16.20;82.90;84.90;68;17865
SPX1617F1980-E ;79.80;-11.70;78.80;80.80;19;1035
SPX1617F1985-E ;75.60;-12.20;74.90;76.80;2;3153
SPX1617F1990-E ;83.60;0.0;71.00;72.90;0;2670
SPX1617F1995-E ;66.95;-17.70;67.20;69.00;2;3843
SPX1617F2000-E ;64.00;-11.50;63.40;65.20;741;113772
SPX1617F2005-E ;63.63;-7.27;59.60;61.40;3;15844
SPX1617F2010-E ;56.30;-6.95;56.00;57.70;49;9843
SPX1617F2015-E ;61.13;+2.33;52.50;54.00;20;11724
SPX1617F2020-E ;48.80;-16.15;49.00;50.40;11;8898
SPX1617F2025-E ;47.00;-11.10;45.60;47.00;90;33296
SPX1617F2030-E ;43.00;-11.53;42.30;43.80;130;12929
SPX1617F2035-E ;39.60;-5.35;39.10;40.40;24;21660
SPX1617F2040-E ;36.00;-11.53;36.00;37.30;5700;41315
SPX1617F2045-E ;33.80;-4.80;32.80;34.20;5310;20734
SPX1617F2050-E ;30.37;-9.76;30.00;31.00;12916;102528
SPX1617F2055-E ;27.45;-7.55;27.20;28.40;6753;31255
SPX1617F2060-E ;25.05;-7.95;24.60;25.70;6765;22247
SPX1617F2065-E ;21.99;-8.26;22.00;23.20;61;12544
SPX1617F2070-E ;19.40;-7.79;19.60;20.70;474;17140
SPX1617F2075-E ;17.75;-6.60;17.30;18.40;6452;55712
SPX1617F2080-E ;15.25;-9.28;15.20;16.20;360;14804
SPX1617F2085-E ;14.00;-5.13;13.20;14.20;1188;21711
SPX1617F2090-E ;11.70;-5.80;11.40;12.40;19;20234
SPX1617F2095-E ;10.05;-6.87;9.80;10.70;267;16485
SPX1617F2100-E ;8.65;-4.65;8.30;9.20;6708;86617
SPX1617F2105-E ;7.30;-5.30;7.00;7.80;172;1262
SPX1617F2110-E ;6.00;-3.63;6.10;6.60;1184;6822
SPX1617F2115-E ;5.10;-3.13;4.80;5.60;142;4276
SPX1617F2120-E ;4.20;-2.65;4.00;4.70;339;3498
SPX1617F2125-E ;3.50;-2.50;3.30;3.90;1715;35671
SPX1617F2130-E ;2.81;-2.19;2.70;3.20;378;12568
SPX1617F2135-E ;2.35;-1.55;2.15;2.65;393;3283
SPX1617F2140-E ;1.90;-1.50;1.75;2.05;646;14708
SPX1617F2145-E ;1.55;-1.02;1.40;1.60;709;2565
SPX1617F2150-E ;1.30;-0.82;1.10;1.50;5785;59351
SPX1617F2155-E ;1.10;-0.85;0.95;1.30;194;1320
SPX1617F2160-E ;0.90;-0.57;0.75;1.10;942;5972
SPX1617F2165-E ;0.80;-0.55;0.60;0.95;344;1223
SPX1617F2170-E ;0.70;-0.25;0.50;0.70;367;16449
SPX1617F2175-E ;0.60;-0.30;0.50;0.75;773;38725
SPX1617F2180-E ;0.55;-0.30;0.40;0.70;194;9178
SPX1617F2185-E ;0.45;-0.22;0.30;0.60;142;2197
SPX1617F2190-E ;0.40;-0.22;0.25;0.60;99;4606
SPX1617F2195-E ;0.40;-0.15;0.30;0.55;98;523
SPX1617F2200-E ;0.30;-0.20;0.15;0.35;62;83462
SPX1617F2205-E ;0.22;-0.38;0.15;0.45;17;279
SPX1617F2210-E ;0.25;-0.10;0.15;0.45;3;407
SPX1617F2215-E ;0.25;-0.05;0.10;0.40;10;380
SPX1617F2220-E ;0.20;-0.20;0.10;0.40;2;389
SPX1617F2225-E ;0.20;-0.05;0.15;0.35;16;14279
SPX1617F2230-E ;0.25;0.0;0.05;0.35;0;214
SPX1617F2235-E ;0.20;-0.30;0.05;0.35;2;30
SPX1617F2240-E ;0.25;0.0;0.05;0.30;0;242
SPX1617F2245-E ;0.20;-0.25;0.05;0.30;1;22
SPX1617F2250-E ;0.17;-0.08;0.10;0.25;176;21393
SPX1617F2275-E ;0.10;-0.20;0.05;0.15;376;5408
SPX1617F2300-E ;0.08;-0.12;0.05;0.10;2103;33099
SPX1617F2325-E ;0.05;0.0;0.0;0.10;122;6678
SPX1617F2350-E ;0.05;0.0;0.0;0.05;0;8377
SPX1617F2375-E ;0.07;0.0;0.0;0.05;0;1636
SPX1617F2400-E ;0.05;0.0;0.0;0.05;0;6460
SPX1617F2425-E ;0.05;0.0;0.0;0.10;0;2558
SPX1617F2450-E ;0.05;0.0;0.0;0.10;0;1185
SPX1617F2500-E ;0.02;0.0;0.0;0.05;0;10459
SPX1617F2800-E ;0.10;0.0;0.0;0.10;0;1196
SPX1617F3000-E ;0.20;0.0;0.0;0.10;0;3251
SPX1617F3500-E ;0.05;0.0;0.0;0.10;0;1
